"id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","host_listing_count","availability_365"
2294594,11721588,"Richard","Manhattan","Midtown",40.76485632740794,-73.97885226462022,"Private room",600,1,0,"",,1,313
3322209,1925358,"Selene","Manhattan","East Harlem",40.78918028138754,-73.95269553624316,"Entire home/apt",210,3,3,"2014-11-30",0.5,1,0
970949,5306189,"Paul","Manhattan","Harlem",40.82300948844456,-73.9432043593751,"Private room",75,1,20,"2014-10-26",1.0,1,365
4182218,18592507,"Alyssa","Brooklyn","Fort Greene",40.6939592286032,-73.97177295392882,"Private room",100,1,0,"",,1,76
4567400,4677592,"Diane","Manhattan","West Village",40.73330647250708,-74.00686214968995,"Entire home/apt",220,1,0,"",,2,365
4334289,22504405,"Medi And Marc","Manhattan","Harlem",40.8119444119534,-73.95140453494902,"Entire home/apt",175,1,0,"",,1,55
2543830,940368,"Janet","Brooklyn","Crown Heights",40.67048696496326,-73.95981978147303,"Entire home/apt",90,1,1,"2014-05-17",0.1,1,272
3625713,1433078,"Jocelyn","Manhattan","Hell's Kitchen",40.76837013758282,-73.98739227991102,"Private room",220,3,0,"",,1,338
975965,2267153,"John","Manhattan","East Village",40.727915421707266,-73.98506801543323,"Private room",89,1,85,"2014-12-05",3.9,3,13
768127,1155020,"Timothy","Manhattan","East Village",40.73188999735455,-73.98533179507976,"Entire home/apt",200,5,29,"2014-10-26",1.2,3,365
53477,204539,"Mark","Queens","Middle Village",40.71546329912865,-73.87853842499575,"Entire home/apt",250,3,11,"2014-10-21",0.2,5,365
3166977,16063341,"MªJesús","Manhattan","West Village",40.73740183153863,-73.99921642912194,"Entire home/apt",190,1,1,"2014-08-10",0.2,1,194
2586556,13244076,"Kenneth","Brooklyn","Bushwick",40.69359894809495,-73.90739553755164,"Private room",75,1,0,"",,1,264
3820927,19181310,"Baker","Manhattan","East Village",40.729064875556716,-73.98233676040253,"Private room",125,1,0,"",,1,122
3330319,16813301,"Mark","Manhattan","West Village",40.729505983524625,-74.00511281993263,"Entire home/apt",150,2,4,"2014-12-25",0.6,1,12
3518904,1279372,"Surinder","Brooklyn","Prospect Heights",40.675453252871655,-73.9652396166432,"Private room",129,3,2,"2014-10-20",0.4,1,274
3731319,6079166,"George","Queens","Flushing",40.75605122773135,-73.8168990290104,"Private room",59,2,2,"2014-09-08",0.5,6,325
333524,1698844,"Rosary","Manhattan","Chelsea",40.749871163631475,-73.9989350965534,"Entire home/apt",200,1,0,"",,3,365
1823013,4111130,"Eli","Manhattan","Nolita",40.72301111930504,-73.99433318518324,"Entire home/apt",160,6,2,"2014-09-02",0.5,1,161
1397580,7549107,"Adam","Brooklyn","Fort Greene",40.69099891064518,-73.9716439758793,"Entire home/apt",168,5,17,"2014-11-26",1.0,1,365
4671565,866438,"Julia","Manhattan","Union Square",40.73793326282971,-73.99600803013797,"Private room",250,1,0,"",,4,365
4764120,14723643,"Alisa","Manhattan","Hamilton Heights",40.82287197523672,-73.94522389426699,"Private room",69,1,1,"2014-12-15",1,1,365
831962,4355900,"David","Brooklyn","Bushwick",40.704790360654215,-73.92039350252227,"Private room",75,5,6,"2014-10-18",0.4,1,251
3592497,10345082,"Cinnamon","Brooklyn","Greenpoint",40.721938088280055,-73.94722978903127,"Entire home/apt",299,2,0,"",,2,148
3781088,18802286,"Steve","Manhattan","East Village",40.7265306317618,-73.98490857115829,"Entire home/apt",165,2,6,"2014-12-21",1.4,1,186
3036012,15462658,"Alexandra","Brooklyn","Bushwick",40.70151053798324,-73.91255797075658,"Private room",50,1,0,"",,1,208
4318362,22420305,"Jennifer","Manhattan","Midtown East",40.75936417377746,-73.9707150489552,"Entire home/apt",325,1,10,"2015-01-01",4.1,1,161
3264838,16509956,"Sam","Manhattan","Washington Heights",40.83361295532826,-73.94089895999362,"Private room",99,1,0,"",,1,365
1823051,1090226,"Uliana","Manhattan","Financial District",40.70744684826203,-74.0073673991688,"Entire home/apt",250,6,1,"2014-01-03",0.1,2,208
766455,3619541,"Gretchen","Brooklyn","Crown Heights",40.670485418017364,-73.94794785139706,"Entire home/apt",360,1,18,"2014-12-01",0.9,1,357
4187301,21723669,"Jaimen","Brooklyn","Bushwick",40.70039874427844,-73.91838759063212,"Entire home/apt",145,5,0,"",,1,274
1135494,6158233,"Craig","Manhattan","Hamilton Heights",40.83110495250301,-73.94947360343085,"Entire home/apt",270,1,6,"2014-12-28",0.3,6,365
4793059,24702001,"Will","Manhattan","East Village",40.72633131202207,-73.98821580245836,"Entire home/apt",120,1,0,"",,1,2
1917467,9942218,"Maya","Manhattan","Upper West Side",40.77317518145426,-73.989384946765,"Entire home/apt",180,4,0,"",,1,335
3138740,15936785,"Martha","Manhattan","Harlem",40.80606578023864,-73.95598153290173,"Entire home/apt",170,3,1,"2014-12-28",1,1,218
2053016,10518798,"Jeremiah","Manhattan","Hamilton Heights",40.82983382079157,-73.94236499973563,"Entire home/apt",100,2,5,"2014-10-07",1.2,1,365
1140164,2845,"Jennifer","Manhattan","Hell's Kitchen",40.76529624189018,-73.98502801226894,"Private room",95,1,3,"2014-06-20",0.3,5,211
4698664,7409185,"Ricky","Manhattan","Hell's Kitchen",40.762782306930255,-73.98597591990881,"Entire home/apt",175,3,1,"2014-12-14",1,1,364
1560957,617990,"Christopher","Manhattan","Harlem",40.80484845812255,-73.94965043727804,"Entire home/apt",137,1,9,"2014-12-09",0.6,2,364
276640,1445263,"Liza","Manhattan","West Village",40.73146737876627,-74.00291074867371,"Entire home/apt",175,3,19,"2014-11-07",0.5,1,345
2483409,12234879,"Niazzi","Manhattan","Midtown",40.748478180831384,-73.99039828375292,"Private room",85,1,21,"2014-11-24",2.1,2,352
4137681,124797,"Lenin","Manhattan","Washington Heights",40.85438970005284,-73.92977795567808,"Entire home/apt",125,5,5,"2014-12-29",1.6,3,361
4662827,24126683,"Elena","Brooklyn","Bushwick",40.698461797987356,-73.93191151926088,"Private room",75,1,0,"",,1,363
3400929,12610856,"Leonard","Brooklyn","Bushwick",40.69500539966656,-73.92091199475088,"Private room",85,1,0,"",,1,195
2536005,9426702,"Ks","Manhattan","Financial District",40.70640779475332,-74.01535182756942,"Private room",169,2,7,"2014-12-13",1.6,3,335
2155750,1745187,"Kemba","Brooklyn","Crown Heights",40.675371307131506,-73.95746004802324,"Shared room",28,1,7,"2014-08-05",0.6,8,359
4831398,7441368,"Chris","Manhattan","Hell's Kitchen",40.7555814179782,-73.99442492487891,"Entire home/apt",199,1,0,"",,1,365
774561,1420300,"Gordy","Brooklyn","Bedford-Stuyvesant",40.684951849732016,-73.95424574979141,"Entire home/apt",1000,2,7,"2014-12-08",1.0,3,325
4706742,247646,"Bron","Brooklyn","Prospect Heights",40.67466957700521,-73.96396952604498,"Entire home/apt",220,6,0,"",,1,10
3930967,13646405,"Cassandra","Manhattan","East Harlem",40.79711321237072,-73.95053579139629,"Private room",140,5,2,"2014-10-23",0.5,1,346
890833,4731342,"Kelly ""Kheleesi""","Brooklyn","Boerum Hill",40.68437063347869,-73.97833800660123,"Entire home/apt",229,3,3,"2013-10-15",0.2,1,365
3560479,1928798,"Adrian","Manhattan","East Harlem",40.79174477484326,-73.94059706759778,"Entire home/apt",115,1,1,"2014-09-02",0.2,1,90
4051391,21008332,"Liz","Manhattan","Harlem",40.80584883384902,-73.95343286513847,"Entire home/apt",110,7,1,"2014-12-07",1,1,94
4567667,23677304,"Tomi","Manhattan","Kips Bay",40.74015481395027,-73.98001005855124,"Entire home/apt",130,1,1,"2014-11-13",0.6,1,25
4056316,1382662,"Min","Manhattan","Financial District",40.70748750223596,-74.00733027806537,"Private room",45,10,0,"",,1,92
